team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome
Home,PASS,PASS,1,3661,146.44,3675,147.0,A06,A09,43.2,19.44,43.2,13.68,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,3675,147.0,3718,148.72,A09,A04,43.2,13.68,52.92,40.32000000000001,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,3749,149.96,3797,151.88,A04,A08,50.76,42.48,32.4,68.39999999999999,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,3828,153.12,3875,155.0,A08,A07,30.24,67.67999999999999,16.2,66.96000000000001,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,3934,157.36,3959,158.36,A07,A04,21.6,67.67999999999999,35.64,61.2,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4030,161.2,4054,162.16,A04,A06,30.24,63.36,32.4,53.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4075,163.0,4097,163.88,A06,A05,32.4,53.28,33.48,41.76,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4132,165.28,4177,167.08,A05,A01,33.48,39.6,22.68,5.040000000000001,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4223,168.92,4253,170.12,A01,A05,21.6,5.76,28.08,21.6,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4261,170.44,4291,171.64,A05,A09,28.08,21.6,17.28,20.160000000000004,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4291,171.64,4334,173.36,A09,A01,17.28,20.160000000000004,16.2,8.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4361,174.44,4376,175.04,A01,A09,12.96,7.2,7.56,17.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,4402,176.08,4419,176.76,A09,A05,5.4,17.28,14.04,16.560000000000002,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,4956,198.24,5041,201.64,B25,B23,3.24,36.0,56.16,20.88,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,5041,201.64,5102,204.08,B23,B18,56.16,20.88,41.04,13.68,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,5102,204.08,5129,205.16,B18,B22,41.04,13.68,54.0,2.16,1,2,True,False,False,PASS,True
Home,PASS,PASS,1,5222,208.88,5254,210.16,A06,A04,61.56,23.76,69.12,45.36,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5372,214.88,5400,216.0,A04,A10,52.92,57.6,30.24,46.08,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5400,216.0,5425,217.0,A10,A07,30.24,46.08,31.32,56.16,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5447,217.88,5482,219.28,A07,A08,28.08,56.16,25.92,66.24000000000001,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5482,219.28,5524,220.96,A08,A04,25.92,66.24000000000001,33.48,61.92,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5533,221.32,5561,222.44,A04,A08,33.48,61.92,24.84,71.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5640,225.6,5658,226.32,A08,A09,24.84,60.48,29.160000000000004,49.67999999999999,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5658,226.32,5687,227.48,A09,A04,29.160000000000004,49.67999999999999,33.48,62.64,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5707,228.28,5745,229.8,A04,A07,34.56,63.36,21.6,71.28,1,2,False,False,False,PASS,True
Home,PASS,PASS,1,5745,229.8,5763,230.52,A07,A09,21.6,71.28,20.52,61.92,1,2,False,False,False,PASS,True
Away,PASS,PASS,1,5852,234.08,5867,234.68,B21,B15,25.92,63.36,19.44,61.2,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,5885,235.4,5900,236.0,B15,B19,19.44,61.2,29.160000000000004,52.56,1,2,True,False,False,PASS,True
Away,PASS,PASS,1,5929,237.16,5959,238.36,B19,B16,24.84,52.56,9.72,48.24,1,2,True,False,False,PASS,True
