team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,SET PIECE,KICK OFF,1,361,14.44,361,14.44,A10,,,,,,1
Away,PASS,PASS,1,361,14.44,377,15.08,A10,A07,54.135,35.082,53.853120000000004,35.0676,1
Away,CARRY,CARRY,1,377,15.08,384,15.36,A07,,53.853120000000004,35.0676,53.676,34.92,1
Away,PASS,PASS,1,384,15.36,426,17.04,A07,A08,53.676,34.92,68.44284,45.683279999999996,1
Away,CARRY,CARRY,1,426,17.04,465,18.6,A08,,68.44284,45.683279999999996,72.34488,42.98904,1
Away,PASS,PASS,1,465,18.6,507,20.28,A08,A02,72.34488,42.98904,87.05015999999999,28.671120000000002,1
Away,CARRY,CARRY,1,507,20.28,530,21.2,A02,,87.05015999999999,28.671120000000002,87.40332,30.90384,1
Away,PASS,PASS,1,530,21.2,580,23.2,A02,A03,87.40332,30.90384,86.29848,58.69584,1
Away,CARRY,CARRY,1,580,23.2,598,23.92,A03,,86.29848,58.69584,86.13648,59.038560000000004,1
Away,PASS,PASS,1,598,23.92,628,25.12,A03,A04,86.13648,59.038560000000004,73.54908,70.60248,1
Away,CARRY,CARRY,1,628,25.12,652,26.08,A04,,73.54908,70.60248,73.24452,70.35192,1
Away,PASS,PASS,1,652,26.08,692,27.68,A04,A03,73.24452,70.35192,87.80615999999999,62.341919999999995,1
Away,CARRY,CARRY,1,692,27.68,722,28.88,A03,,87.80615999999999,62.341919999999995,87.89904,62.08128,1
Away,PASS,PASS,1,722,28.88,755,30.2,A03,A11,87.89904,62.08128,103.71348,44.865359999999995,1
Away,CARRY,CARRY,1,755,30.2,830,33.2,A11,,103.71348,44.865359999999995,102.32892000000001,35.94744,1
Away,PASS,PASS,1,830,33.2,862,34.48,A11,A02,102.32892000000001,35.94744,100.1754,13.93776,1
Away,CARRY,CARRY,1,862,34.48,897,35.88,A02,,100.1754,13.93776,97.91279999999999,10.213920000000002,1
Away,BALL OUT,BALL OUT,1,897,35.88,957,38.28,A02,,97.91279999999999,10.213920000000002,55.08,-0.72,1
Home,SET PIECE,THROW IN,1,1125,45.0,1125,45.0,B21,,,,,,1
