team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,A02,,25.919999999999998,59.04,,,1
Home,PASS,PASS,1,5149,205.96,5202,208.08,A02,A01,25.919999999999998,59.04,34.56,64.08,1
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,A01,,34.56,64.08,35.64,60.48,1
Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,A06,,38.879999999999995,59.04,,,1
Away,CHALLENGE,GROUND-WON,1,5228,209.12,5228,209.12,B19,,38.879999999999995,59.76,,,1
Away,RECOVERY,INTERCEPTION,1,5228,209.12,5228,209.12,B19,,38.879999999999995,59.76,,,1
Away,BALL LOST,BALL LOST,1,5228,209.12,5263,210.52,B19,,38.879999999999995,59.76,30.240000000000002,59.76,1
Home,RECOVERY,INTERCEPTION,1,5263,210.52,5263,210.52,A01,,31.319999999999997,61.199999999999996,,,1
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,A01,,28.080000000000002,69.12,69.12,63.36,1
Away,RECOVERY,INTERCEPTION,1,5385,215.4,5385,215.4,B17,,63.72,64.08,,,1
Away,PASS,HEAD,1,5385,215.4,5412,216.48,B17,B20,63.72,64.08,58.32000000000001,61.199999999999996,1
Away,PASS,PASS,1,5431,217.24,5471,218.84,B20,B18,59.400000000000006,59.76,48.6,36.0,1
Away,BALL LOST,BALL LOST,1,5507,220.28,5517,220.68,B18,,41.04,33.839999999999996,30.240000000000002,29.52,1
Home,RECOVERY,RECOVERY,1,5520,220.8,5520,220.8,A04,,32.4,30.96,,,1
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,A04,,32.4,30.96,30.240000000000002,37.44,1
Away,RECOVERY,INTERCEPTION,1,5549,221.96,5549,221.96,B18,,31.319999999999997,35.28,,,1
Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,A01,,15.120000000000001,43.199999999999996,,,1
Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,A01,,15.120000000000001,43.199999999999996,,,1
Home,PASS,PASS,1,5627,225.08,5663,226.52,A01,A02,15.120000000000001,43.199999999999996,19.439999999999998,38.160000000000004,1
Away,CHALLENGE,TACKLE-LOST,1,5628,225.12,5628,225.12,B18,,16.2,40.32000000000001,,,1
Away,BALL LOST,THEFT,1,5628,225.12,5628,225.12,B18,,16.2,40.32000000000001,,,1
Home,PASS,PASS,1,5663,226.52,5685,227.4,A02,A08,19.439999999999998,38.160000000000004,25.919999999999998,28.8,1
Home,PASS,PASS,1,5761,230.44,5809,232.36,A08,A10,42.120000000000005,20.88,64.8,6.4799999999999995,1
Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,A10,,90.72,19.44,112.32000000000001,43.199999999999996,1
Away,RECOVERY,RECOVERY,1,6685,267.4,6685,267.4,B25,,102.6,32.4,,,1
Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,B25,B18,102.6,32.4,57.24,2.88,1
Away,BALL LOST,HEAD,1,6779,271.16,6844,273.76,B18,,57.24,2.88,61.559999999999995,22.32,1
Home,RECOVERY,RECOVERY,1,6844,273.76,6844,273.76,A06,,58.32000000000001,21.599999999999998,,,1
Away,CHALLENGE,GROUND-WON,1,6863,274.52,6863,274.52,B21,,57.24,20.88,,,1
Away,RECOVERY,INTERCEPTION,1,6863,274.52,6863,274.52,B21,,57.24,20.88,,,1
Away,PASS,PASS,1,6863,274.52,6886,275.44,B21,B20,57.24,20.88,58.32000000000001,26.64,1
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,A06,,58.32000000000001,21.599999999999998,59.400000000000006,26.64,1
Away,PASS,PASS,1,6905,276.2,6946,277.84,B20,B22,56.160000000000004,29.52,49.68,56.160000000000004,1
Away,BALL LOST,CROSS-INTERCEPTION,1,6987,279.48,7043,281.72,B22,,41.04,60.48,8.64,28.8,1
Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,A03,,10.8,30.24,,,1
Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,A03,,10.8,30.24,,,1
Home,PASS,PASS,1,7041,281.64,7148,285.92,A03,A04,10.8,30.24,3.2399999999999998,2.16,1
Away,CHALLENGE,GROUND-LOST,1,7043,281.72,7043,281.72,B24,,10.8,28.080000000000002,,,1
Home,BALL LOST,BALL LOST,1,7199,287.96,7204,288.16,A04,,10.8,0.72,15.120000000000001,1.44,1
Away,RECOVERY,RECOVERY,1,7203,288.12,7203,288.12,B18,,14.040000000000001,0.72,,,1
Away,PASS,PASS,1,7203,288.12,7266,290.64,B18,B21,14.040000000000001,0.72,21.6,7.92,1
Away,PASS,PASS,1,7266,290.64,7290,291.6,B21,B18,21.6,7.92,19.439999999999998,2.88,1
Away,PASS,PASS,1,7334,293.36,7387,295.48,B18,B15,25.919999999999998,1.44,41.04,5.76,1
Away,PASS,PASS,1,7404,296.16,7427,297.08,B15,B23,41.04,5.76,27.0,15.12,1
Away,BALL LOST,BALL LOST,1,7465,298.6,7470,298.8,B23,,24.84,18.72,22.68,18.72,1
Home,RECOVERY,RECOVERY,1,7472,298.88,7472,298.88,A03,,21.6,20.88,,,1
Home,BALL LOST,BALL LOST,1,7472,298.88,7518,300.72,A03,,21.6,20.88,28.080000000000002,18.72,1
Away,RECOVERY,RECOVERY,1,7519,300.76,7519,300.76,B19,,28.080000000000002,20.88,,,1
Away,PASS,PASS,1,7519,300.76,7556,302.24,B19,B18,28.080000000000002,20.88,31.319999999999997,5.040000000000001,1
Away,PASS,PASS,1,7603,304.12,7632,305.28,B18,B19,31.319999999999997,5.040000000000001,32.4,17.28,1
Away,CHALLENGE,TACKLE-LOST,1,7698,307.92,7698,307.92,B19,,25.919999999999998,15.84,,,1
Away,BALL LOST,THEFT,1,7698,307.92,7698,307.92,B19,,25.919999999999998,15.84,,,1
Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,A08,,23.76,12.24,,,1
Away,RECOVERY,RECOVERY,1,7724,308.96,7724,308.96,B21,,20.52,19.44,,,1
Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,B21,,21.6,21.599999999999998,-4.32,46.800000000000004,1
Home,RECOVERY,RECOVERY,1,8482,339.28,8482,339.28,A11,,4.32,37.44,,,1
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,A11,,4.32,37.44,69.12,27.36,1
Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,B15,,66.96,25.919999999999998,,,1
Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,B15,,66.96,25.919999999999998,,,1
Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,B15,,66.96,25.919999999999998,68.04,25.919999999999998,1
Home,RECOVERY,RECOVERY,1,8581,343.24,8581,343.24,A10,,64.8,26.64,,,1
Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,A10,,64.8,26.64,73.44000000000001,25.2,1
Away,RECOVERY,RECOVERY,1,8650,346.0,8650,346.0,B15,,71.28,25.2,,,1
Away,PASS,HEAD,1,8650,346.0,8686,347.44,B15,B16,71.28,25.2,81.0,27.36,1
Away,BALL LOST,BALL LOST,1,8686,347.44,8735,349.4,B16,,81.0,27.36,69.12,20.160000000000004,1
Home,RECOVERY,RECOVERY,1,8734,349.36,8734,349.36,A08,,69.12,16.560000000000002,,,1
Home,BALL OUT,BALL OUT,1,8753,350.12,8843,353.72,A08,,70.2,15.12,79.92,-2.88,1
Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,B18,,,,,,1
Away,PASS,PASS,1,8868,354.72,8892,355.68,B18,B19,83.16,-0.72,77.75999999999999,7.2,1
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,B19,,76.67999999999999,7.92,8.64,12.24,1
Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,A03,,9.719999999999999,10.080000000000002,,,1
Home,BALL OUT,BALL OUT,1,9098,363.92,9127,365.08,A03,,2.16,7.2,5.4,-2.88,1
Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,B23,,,,,,1
Away,PASS,PASS,1,9215,368.6,9255,370.2,B23,B18,6.4799999999999995,0.0,23.76,4.32,1
Away,PASS,PASS,1,9306,372.24,9337,373.48,B18,B19,19.439999999999998,7.92,25.919999999999998,21.599999999999998,1
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,B19,,25.919999999999998,21.599999999999998,25.919999999999998,28.080000000000002,1
Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,A06,,23.76,25.919999999999998,,,1
Home,PASS,PASS,1,9390,375.6,9442,377.68,A06,A10,31.319999999999997,27.36,59.400000000000006,9.36,1
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,A10,A08,93.96,20.88,103.67999999999999,26.64,1
Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,A08,,103.67999999999999,26.64,105.84,33.120000000000005,1
Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,B25,,104.75999999999999,31.68,,,1
Away,BALL OUT,BALL OUT,1,9634,385.36,9663,386.52,B25,,104.75999999999999,31.68,111.24000000000001,23.76,1
Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,A06,,,,,,1
Home,PASS,PASS,1,10387,415.48,10418,416.72,A06,A10,106.92,0.72,101.52,6.4799999999999995,1
Home,PASS,PASS,1,10453,418.12,10477,419.08,A10,A06,101.52,6.4799999999999995,93.96,7.2,1
Home,PASS,PASS,1,10493,419.72,10527,421.08,A06,A05,92.88,7.92,84.24000000000001,25.919999999999998,1
Home,PASS,PASS,1,10551,422.04,10599,423.96,A05,A07,85.32000000000001,25.919999999999998,79.92,46.08,1
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,A07,,81.0,46.800000000000004,99.36,33.120000000000005,1
Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,B15,,98.28,33.839999999999996,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,B15,,98.28,33.839999999999996,89.64,37.44,1
Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,A08,,89.64,36.72,,,1
Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,A08,,89.64,36.72,,,1
Home,PASS,HEAD,1,10708,428.32,10742,429.68,A08,A03,89.64,36.72,89.64,38.88,1
Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,B22,,90.72,36.72,,,1
Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,A03,,89.64,38.88,93.96,32.4,1
Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,B15,,92.88,33.839999999999996,,,1
Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,B15,,92.88,33.839999999999996,84.24000000000001,46.800000000000004,1
Home,CHALLENGE,AERIAL-FAULT-LOST,1,10801,432.04,10801,432.04,A02,,82.08,46.800000000000004,,,1
Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,B21,,82.08,46.800000000000004,,,1
Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,B25,,,,,,1
Away,PASS,PASS,1,11586,463.44,11619,464.76,B25,B17,84.24000000000001,39.6,75.6,56.88,1
Away,PASS,PASS,1,11674,466.96,11701,468.04,B17,B22,70.2,59.76,61.559999999999995,69.84,1
Away,PASS,PASS,1,11727,469.08,11763,470.52,B22,B20,62.63999999999999,67.67999999999999,58.32000000000001,52.56,1
Away,PASS,PASS,1,11788,471.52,11812,472.48,B20,B19,57.24,51.12,54.0,37.44,1
Away,PASS,PASS,1,11831,473.24,11861,474.44,B19,B24,54.0,39.6,42.120000000000005,28.8,1
Away,PASS,PASS,1,11882,475.28,11918,476.72,B24,B18,42.120000000000005,29.52,34.56,7.2,1
Away,BALL LOST,CROSS-INTERCEPTION,1,11987,479.48,12032,481.28,B18,,23.76,8.64,3.2399999999999998,43.92,1
Home,RECOVERY,INTERCEPTION,1,12033,481.32,12033,481.32,A01,,4.32,44.64,,,1
Home,BALL OUT,HEAD-CLEARANCE,1,12033,481.32,12047,481.88,A01,,4.32,44.64,-5.4,51.12,1
Away,SET PIECE,CORNER KICK,1,12636,505.44,12636,505.44,B21,,,,,,1
Away,BALL OUT,BALL OUT,1,12636,505.44,12702,508.08,B21,,1.08,68.39999999999999,-3.2399999999999998,24.48,1
Home,RECOVERY,RECOVERY,1,13543,541.72,13543,541.72,A11,,4.32,31.68,,,1
Home,PASS,GOAL KICK,1,13543,541.72,13625,545.0,A11,A05,4.32,31.68,54.0,61.92,1
